id,Date ,customer_name,email,product name,Location _ CITY , Total Buying  , Sttore_ Revenue  , store_ profit  ,Medium_ Buying ,payment MOde 
48,4/25/2024,Leo,lnorwell1b@timesonline.co.uk,Drinks & Juices,jaipur," ? 5,778.00 "," ? 987,648.00 "," ? 73,356.00 ",Online,paytm
49,10/8/2024,Gottfried,gghidetti1c@phoca.cz,Paneer & Tofu Batter & Chutney,Amravati," ? 8,842.00 "," ? 519,979.00 "," ? 48,002.00 ",Online,paytm
50,6/13/2024,Margarete,meager1d@a8.net,Noodles,Mumbai," ? 5,139.00 "," ? 102,197.00 "," ? 64,822.00 ",Offline,G-pay
51,5/26/2024,Zebulon,zwaddy1e@archive.org,Chocolates & Candies,Banglore," ? 6,502.00 "," ? 387,841.00 "," ? 60,167.00 ",Offline,Card
52,1/30/2024,Sharona,styrie1f@opensource.org,Paneer & Tofu Batter & Chutney,Pune," ? 8,140.00 "," ? 308,966.00 "," ? 65,915.00 ",Offline,COD
53,6/16/2024,Dael,dchinn1g@digg.com,Milk & Milk Products Cheese,Surat," ? 6,808.00 "," ? 182,284.00 "," ? 79,016.00 ",Online,paytm
54,9/5/2024,Evey,etejada1h@theatlantic.com,Drinks & Juices,Rajkot," ? 7,996.00 "," ? 469,712.00 "," ? 24,417.00 ",Offline,paytm
55,7/25/2024,Lonny,lkunath1i@home.pl,Chips & Namkeens,Surat," ? 8,609.00 "," ? 457,450.00 "," ? 14,440.00 ",Offline,G-pay
56,8/2/2024,Melvyn,mreadings1j@intel.com,Biscuits,Ahemdabad," ? 7,628.00 "," ? 628,069.00 "," ? 44,612.00 ",Offline,Card
57,11/2/2024,Marlon,mandersson1k@slashdot.org,Chips & Namkeens,Surat," ? 5,868.00 "," ? 550,278.00 "," ? 14,771.00 ",Online,G-pay
58,4/29/2024,Vittorio,vgaber1l@blinklist.com,Biscuits,Hyderabad," ? 7,127.00 "," ? 431,357.00 "," ? 69,672.00 ",Offline,COD
59,9/19/2024,Elena,egiacometti1m@example.com,Pasta & Vermicelli,Kolkata," ? 6,997.00 "," ? 420,855.00 "," ? 51,003.00 ",Online,COD
60,3/26/2024,Charis,ctuckley1n@tinyurl.com,Milk & Milk Products Cheese,Kolkata," ? 9,488.00 "," ? 757,518.00 "," ? 97,062.00 ",Online,G-pay
61,6/7/2024,Colet,cbroadwell1o@freewebs.com,Drinks & Juices,Amravati," ? 8,598.00 "," ? 905,334.00 "," ? 45,483.00 ",Online,G-pay
62,7/18/2024,Margarette,mwilgar1p@answers.com,Herbs & Others Premium Fruits & Vegetables,Rajkot," ? 8,676.00 "," ? 402,333.00 "," ? 43,631.00 ",Offline,COD
63,11/23/2024,Caspar,cocallaghan1q@symantec.com,Paneer & Tofu Batter & Chutney,Kolkata," ? 6,858.00 "," ? 537,190.00 "," ? 26,916.00 ",Offline,Card
64,9/10/2024,Merola,mysson1r@examiner.com,Chocolates & Candies,," ? 5,553.00 "," ? 688,149.00 "," ? 88,800.00 ",Online,paytm
65,5/26/2024,Moise,mcaughte1s@smugmug.com,Basic Vegetables Roots,Amravati," ? 7,250.00 "," ? 285,902.00 "," ? 70,721.00 ",Online,COD
66,7/14/2024,Wallache,wmechic1t@ucoz.ru,Noodles,Ahemdabad," ? 8,777.00 "," ? 309,441.00 "," ? 45,310.00 ",Online,G-pay
67,10/12/2024,Zondra,zweetch1u@phoca.cz,Drinks & Juices,Mumbai," ? 5,110.00 "," ? 393,005.00 "," ? 36,889.00 ",Offline,Card
68,5/6/2024,Seward,smadden1v@toplist.cz,Fresh Fruits,Delhi," ? 7,764.00 "," ? 198,564.00 "," ? 61,757.00 ",Offline,paytm
69,2/21/2024,Malvina,mmoult1w@soundcloud.com,Basic Vegetables Roots,Ahemdabad," ? 9,513.00 "," ? 743,735.00 "," ? 28,631.00 ",Online,G-pay
70,5/28/2024,Reid,rmasedon1x@w3.org,Pasta & Vermicelli,Surat," ? 7,108.00 "," ? 490,524.00 "," ? 43,128.00 ",Online,COD
71,5/16/2024,Oswald,oseedull1y@gmpg.org,Chocolates & Candies,Banglore," ? 6,277.00 "," ? 115,946.00 "," ? 77,471.00 ",Online,Card
72,6/29/2024,Brok,bbeagen1z@parallels.com,Biscuits,jaipur," ? 8,025.00 "," ? 531,788.00 "," ? 90,353.00 ",Offline,G-pay
73,11/12/2024,Tobie,tstoile20@netscape.com,Herbs & Others Premium Fruits & Vegetables,," ? 9,397.00 "," ? 159,661.00 "," ? 13,359.00 ",Offline,paytm
74,7/28/2024,Hendrika,hseale21@vk.com,Biscuits,Pune," ? 7,804.00 "," ? 743,579.00 "," ? 55,098.00 ",Offline,paytm
75,2/17/2024,Tate,tdoret22@taobao.com,Basic Vegetables Roots,Mumbai," ? 7,058.00 "," ? 200,490.00 "," ? 46,846.00 ",Online,paytm
76,10/17/2024,Colline,clegassick23@netscape.com,Drinks & Juices,Mumbai," ? 5,519.00 "," ? 276,722.00 "," ? 58,642.00 ",Offline,Card
77,11/18/2024,Sherill,slefloch24@columbia.edu,Milk & Milk Products Cheese,," ? 6,661.00 "," ? 503,221.00 "," ? 35,382.00 ",Online,G-pay
78,3/25/2024,Alie,aclimson25@dropbox.com,Basic Vegetables Roots,Pune," ? 5,766.00 "," ? 479,417.00 "," ? 91,725.00 ",Offline,COD
79,9/5/2024,Bobette,bgrogono26@springer.com,Chocolates & Candies,Hyderabad," ? 5,989.00 "," ? 549,073.00 "," ? 12,540.00 ",Online,G-pay
80,9/1/2024,Josefa,jliddy27@oakley.com,Basic Vegetables Roots,Surat," ? 6,466.00 "," ? 525,116.00 "," ? 31,037.00 ",Offline,G-pay
81,8/26/2024,Shayla,sscotfurth28@fotki.com,Noodles,Rajkot," ? 7,081.00 "," ? 505,546.00 "," ? 89,408.00 ",Online,COD
82,12/15/2023,Lorenza,lpallin29@ebay.com,Drinks & Juices,Kolkata," ? 6,797.00 "," ? 639,576.00 "," ? 58,944.00 ",Offline,COD
83,8/26/2024,Ynez,yecclestone2a@wiley.com,Herbs & Others Premium Fruits & Vegetables,jaipur," ? 7,085.00 "," ? 598,856.00 "," ? 47,439.00 ",Online,G-pay
84,10/7/2024,Diandra,dgravestone2b@parallels.com,Drinks & Juices,Kolkata," ? 9,566.00 "," ? 648,322.00 "," ? 24,328.00 ",Online,Card
85,8/10/2024,Elbertine,eangear2c@comcast.net,Noodles,Ahemdabad," ? 5,892.00 "," ? 180,158.00 "," ? 24,264.00 ",Offline,Card
86,12/7/2024,Emmet,eallatt2d@dyndns.org,Chips & Namkeens,jaipur," ? 5,413.00 "," ? 342,134.00 "," ? 88,602.00 ",Offline,Card
87,12/3/2024,Nancey,nwiley2e@edublogs.org,Drinks & Juices,Ahemdabad," ? 7,164.00 "," ? 172,113.00 "," ? 36,011.00 ",Offline,G-pay
88,6/13/2024,Brennan,bbillyeald2f@ow.ly,Paneer & Tofu Batter & Chutney,," ? 8,956.00 "," ? 290,349.00 "," ? 29,710.00 ",Offline,G-pay
89,3/17/2024,Aloise,afouch2g@skype.com,Basic Vegetables Roots,Surat," ? 6,015.00 "," ? 637,785.00 "," ? 86,398.00 ",Online,COD
90,12/7/2024,Monty,mkinch2h@so-net.ne.jp,Pasta & Vermicelli,," ? 9,630.00 "," ? 560,818.00 "," ? 27,147.00 ",Offline,paytm
91,11/10/2024,Bartram,brizzotto2i@tumblr.com,Basic Vegetables Roots,Mumbai," ? 8,303.00 "," ? 787,353.00 "," ? 49,401.00 ",Offline,paytm
92,6/6/2024,Graham,gromeo2j@pen.io,Chips & Namkeens,," ? 5,189.00 "," ? 605,581.00 "," ? 73,328.00 ",Offline,paytm
93,2/29/2024,Hagan,hwarn2k@shinystat.com,Biscuits,jaipur," ? 9,833.00 "," ? 864,551.00 "," ? 49,391.00 ",Offline,COD
94,11/5/2024,Lewie,lhillitt2l@intel.com,Fresh Fruits,Surat," ? 7,224.00 "," ? 481,259.00 "," ? 56,704.00 ",Online,G-pay
95,4/9/2024,Chevalier,cbeauchamp2m@shareasale.com,Paneer & Tofu Batter & Chutney,Surat," ? 5,632.00 "," ? 142,309.00 "," ? 78,656.00 ",Online,COD
96,2/21/2024,Joshua,jovell2n@reddit.com,Pasta & Vermicelli,," ? 6,303.00 "," ? 196,975.00 "," ? 91,325.00 ",Online,COD
97,5/10/2024,Tonia,twaltho2o@eventbrite.com,Pasta & Vermicelli,Pune," ? 6,666.00 "," ? 662,648.00 "," ? 56,387.00 ",Online,Card
98,2/25/2024,Saunderson,shortop2p@g.co,Chips & Namkeens,Rajkot," ? 9,775.00 "," ? 859,924.00 "," ? 75,772.00 ",Online,G-pay
99,2/22/2024,Rori,rphillps2q@arizona.edu,Herbs & Others Premium Fruits & Vegetables,Amravati," ? 9,424.00 "," ? 229,632.00 "," ? 17,220.00 ",Online,COD
100,4/20/2024,Jodie,jpetti2r@guardian.co.uk,Drinks & Juices,Banglore," ? 9,034.00 "," ? 801,328.00 "," ? 45,558.00 ",Offline,G-pay
101,9/3/2024,Daisie,dgullberg2s@parallels.com,Milk & Milk Products Cheese,Kolkata," ? 5,462.00 "," ? 667,662.00 "," ? 10,681.00 ",Offline,COD
102,9/22/2024,Melony,mdufaur2t@latimes.com,Noodles,Banglore," ? 9,978.00 "," ? 351,766.00 "," ? 78,543.00 ",Offline,paytm
103,11/26/2024,Sheila,spaulton2u@ftc.gov,Paneer & Tofu Batter & Chutney,jaipur," ? 6,768.00 "," ? 709,413.00 "," ? 25,218.00 ",Online,paytm
104,9/24/2024,Alwyn,adixcee2v@smh.com.au,Fresh Fruits,," ? 8,354.00 "," ? 350,758.00 "," ? 35,294.00 ",Offline,Card
105,8/15/2024,Terri,tpetris2w@scientificamerican.com,Herbs & Others Premium Fruits & Vegetables,Banglore," ? 7,370.00 "," ? 661,205.00 "," ? 52,295.00 ",Online,G-pay
106,7/23/2024,Rorke,rbrough2x@fotki.com,Pasta & Vermicelli,Rajkot," ? 9,358.00 "," ? 306,846.00 "," ? 97,477.00 ",Online,COD
107,5/20/2024,Richart,rterbrug2y@dailymail.co.uk,Chocolates & Candies,jaipur," ? 7,926.00 "," ? 113,016.00 "," ? 66,961.00 ",Online,COD
108,2/12/2024,Truda,tmandifield2z@quantcast.com,Chocolates & Candies,Ahemdabad," ? 9,755.00 "," ? 727,552.00 "," ? 49,382.00 ",Offline,paytm
109,1/1/2024,Mack,msullly30@timesonline.co.uk,Biscuits,Rajkot," ? 9,673.00 "," ? 414,252.00 "," ? 89,578.00 ",Offline,G-pay
110,4/3/2024,Kamila,kbridgman31@upenn.edu,Chips & Namkeens,Amravati," ? 6,790.00 "," ? 493,937.00 "," ? 66,652.00 ",Online,paytm
111,9/13/2024,Adda,adavydochkin32@cbsnews.com,Chips & Namkeens,Mumbai," ? 5,831.00 "," ? 235,949.00 "," ? 18,831.00 ",Online,Card
112,2/7/2024,Elysia,ehounihan33@google.it,Biscuits,Delhi," ? 8,949.00 "," ? 564,622.00 "," ? 92,794.00 ",Online,COD
113,1/20/2024,Pavla,phandrik34@seesaa.net,Pasta & Vermicelli,Delhi," ? 7,359.00 "," ? 921,776.00 "," ? 43,545.00 ",Offline,COD
114,9/2/2024,Car,ccarcas35@dyndns.org,Basic Vegetables Roots,," ? 9,508.00 "," ? 627,070.00 "," ? 95,354.00 ",Online,COD
115,10/26/2024,Gar,gouterbridge36@ft.com,Chocolates & Candies,Banglore," ? 8,040.00 "," ? 866,003.00 "," ? 42,702.00 ",Offline,G-pay
116,3/11/2024,Hilliard,hdarragh37@skype.com,Noodles,," ? 8,278.00 "," ? 921,412.00 "," ? 24,030.00 ",Online,Card
117,2/10/2024,Darleen,dmccaughey38@census.gov,Fresh Fruits,Surat," ? 7,594.00 "," ? 141,243.00 "," ? 12,150.00 ",Offline,G-pay
118,9/21/2024,Johnette,jlacroce39@nhs.uk,Chocolates & Candies,," ? 9,806.00 "," ? 703,067.00 "," ? 33,958.00 ",Offline,COD
119,12/17/2023,Wilmer,wpoundford3a@patch.com,Paneer & Tofu Batter & Chutney,Surat," ? 8,919.00 "," ? 583,689.00 "," ? 56,324.00 ",Offline,paytm
120,10/11/2024,Waylin,wquinney3b@typepad.com,Chips & Namkeens,Pune," ? 9,261.00 "," ? 972,965.00 "," ? 14,812.00 ",Offline,COD
121,9/24/2024,Clareta,cwadsworth3c@washington.edu,Milk & Milk Products Cheese,Amravati," ? 8,346.00 "," ? 939,221.00 "," ? 23,056.00 ",Offline,COD
122,4/19/2024,Sibylle,spaine3d@quantcast.com,Drinks & Juices,Hyderabad," ? 5,562.00 "," ? 553,774.00 "," ? 58,892.00 ",Online,Card
123,8/8/2024,Tait,tlocal3e@yandex.ru,Basic Vegetables Roots,," ? 9,787.00 "," ? 172,171.00 "," ? 23,508.00 ",Offline,G-pay
124,10/21/2024,Shaine,stwinberrow3f@cmu.edu,Basic Vegetables Roots,Pune," ? 9,129.00 "," ? 341,641.00 "," ? 49,650.00 ",Online,COD
125,4/29/2024,Dehlia,deccleston3g@apache.org,Chips & Namkeens,Kolkata," ? 9,198.00 "," ? 498,196.00 "," ? 28,520.00 ",Online,COD
126,10/12/2024,Forest,fbraven3h@netlog.com,Fresh Fruits,Kolkata," ? 5,900.00 "," ? 530,443.00 "," ? 27,582.00 ",Offline,G-pay
127,6/8/2024,Lizabeth,ljansik3i@fastcompany.com,Fresh Fruits,Mumbai," ? 7,018.00 "," ? 614,666.00 "," ? 34,950.00 ",Online,Card
128,8/24/2024,Henri,hquinet3j@cbsnews.com,Pasta & Vermicelli,," ? 8,840.00 "," ? 856,756.00 "," ? 61,138.00 ",Offline,paytm
129,7/15/2024,Celie,clusher3k@opensource.org,Drinks & Juices,Pune," ? 7,496.00 "," ? 316,139.00 "," ? 34,641.00 ",Online,G-pay
130,12/4/2024,Nickie,nforgan3l@mlb.com,Milk & Milk Products Cheese,Amravati," ? 6,838.00 "," ? 637,886.00 "," ? 86,210.00 ",Offline,COD
131,8/14/2024,Ranice,rsmalridge3m@paypal.com,Drinks & Juices,Rajkot," ? 5,331.00 "," ? 830,674.00 "," ? 99,350.00 ",Offline,paytm
132,2/29/2024,Yehudi,ymissington3n@china.com.cn,Paneer & Tofu Batter & Chutney,Hyderabad," ? 8,415.00 "," ? 313,672.00 "," ? 30,035.00 ",Offline,paytm
133,2/13/2024,Kaile,kgallamore3o@elegantthemes.com,Drinks & Juices,Rajkot," ? 7,351.00 "," ? 952,067.00 "," ? 78,864.00 ",Online,Card
134,3/18/2024,Gael,gayars3p@lulu.com,Drinks & Juices,Mumbai," ? 5,987.00 "," ? 316,912.00 "," ? 10,286.00 ",Online,COD
135,4/24/2024,Cassandre,ckittle3q@army.mil,Paneer & Tofu Batter & Chutney,Hyderabad," ? 8,321.00 "," ? 435,014.00 "," ? 96,444.00 ",Offline,G-pay
136,7/24/2024,Ilysa,ibaldwin3r@vimeo.com,Basic Vegetables Roots,Surat," ? 6,467.00 "," ? 834,025.00 "," ? 66,194.00 ",Online,paytm
137,8/31/2024,Bryana,bjanicki3s@shinystat.com,Fresh Fruits,Ahemdabad," ? 6,300.00 "," ? 492,410.00 "," ? 77,514.00 ",Offline,G-pay
138,6/16/2024,Myrna,mbaggaley3t@yahoo.com,Chocolates & Candies,jaipur," ? 5,943.00 "," ? 882,735.00 "," ? 86,496.00 ",Online,paytm
139,3/10/2024,Valeria,vtwigge3u@posterous.com,Chocolates & Candies,Delhi," ? 6,642.00 "," ? 217,707.00 "," ? 26,129.00 ",Online,Card
140,6/7/2024,Bobbie,bcovolini3v@nature.com,Pasta & Vermicelli,Ahemdabad," ? 6,792.00 "," ? 527,808.00 "," ? 92,511.00 ",Offline,Card
141,7/21/2024,Esta,eschulze3w@japanpost.jp,Milk & Milk Products Cheese,jaipur," ? 7,793.00 "," ? 891,577.00 "," ? 86,145.00 ",Online,paytm
142,3/3/2024,Terri-jo,tshortall3x@parallels.com,Noodles,," ? 6,983.00 "," ? 910,297.00 "," ? 69,157.00 ",Online,paytm
143,4/19/2024,Ezequiel,equilligan3y@google.com.br,Herbs & Others Premium Fruits & Vegetables,Banglore," ? 8,619.00 "," ? 974,964.00 "," ? 66,327.00 ",Offline,Card
144,9/4/2024,Angeline,aandrasch3z@boston.com,Noodles,Hyderabad," ? 6,640.00 "," ? 110,972.00 "," ? 24,902.00 ",Online,COD
145,1/1/2024,Tallulah,tmorant40@mtv.com,Drinks & Juices,jaipur," ? 5,020.00 "," ? 350,337.00 "," ? 97,689.00 ",Offline,Card
146,3/8/2024,Avis,abrauns41@ed.gov,Fresh Fruits,Delhi," ? 5,992.00 "," ? 811,722.00 "," ? 22,419.00 ",Online,Card
147,11/8/2024,Solly,scrooke42@sun.com,Herbs & Others Premium Fruits & Vegetables,Banglore," ? 5,981.00 "," ? 593,921.00 "," ? 98,913.00 ",Offline,G-pay
148,4/5/2024,Hervey,htrumpeter43@cornell.edu,Milk & Milk Products Cheese,Rajkot," ? 9,392.00 "," ? 918,361.00 "," ? 24,279.00 ",Online,Card
149,5/18/2024,Sandie,swallwork44@nature.com,Chocolates & Candies,," ? 9,236.00 "," ? 395,575.00 "," ? 54,941.00 ",Offline,paytm
150,2/23/2024,Rancell,rlyall45@auda.org.au,Biscuits,Rajkot," ? 5,115.00 "," ? 619,301.00 "," ? 59,561.00 ",Online,Card
151,11/13/2024,Auberta,amorland46@github.io,Biscuits,Surat," ? 7,089.00 "," ? 674,600.00 "," ? 23,191.00 ",Offline,COD
152,1/9/2024,Corbett,cludlamme47@wikipedia.org,Noodles,Mumbai," ? 7,410.00 "," ? 961,285.00 "," ? 63,229.00 ",Offline,Card
153,5/2/2024,Parker,pitzhaki48@liveinternet.ru,Chips & Namkeens,," ? 9,985.00 "," ? 637,596.00 "," ? 64,316.00 ",Offline,G-pay
154,3/7/2024,Marrilee,mduffet49@macromedia.com,Milk & Milk Products Cheese,Kolkata," ? 9,418.00 "," ? 767,943.00 "," ? 72,342.00 ",Online,COD
155,8/19/2024,Jarrett,jyewen4a@networkadvertising.org,Chocolates & Candies,Ahemdabad," ? 5,253.00 "," ? 160,226.00 "," ? 16,850.00 ",Offline,paytm
156,11/12/2024,Bevan,bbaglin4b@businesswire.com,Herbs & Others Premium Fruits & Vegetables,Amravati," ? 6,788.00 "," ? 256,253.00 "," ? 49,303.00 ",Offline,G-pay
157,6/4/2024,Symon,sschroeder4c@msn.com,Chocolates & Candies,Ahemdabad," ? 9,008.00 "," ? 213,265.00 "," ? 24,738.00 ",Offline,G-pay
158,11/6/2024,Darn,dgrellis4d@mac.com,Chocolates & Candies,," ? 8,054.00 "," ? 726,357.00 "," ? 22,276.00 ",Online,G-pay
159,9/3/2024,Alaine,akynan4e@icq.com,Chocolates & Candies,Surat," ? 6,178.00 "," ? 117,210.00 "," ? 57,263.00 ",Offline,G-pay
160,2/10/2024,Teodorico,tdurrand4f@technorati.com,Noodles,Banglore," ? 6,471.00 "," ? 461,671.00 "," ? 95,533.00 ",Online,COD
161,3/25/2024,Clarke,cmcalinden4g@techcrunch.com,Biscuits,Delhi," ? 6,388.00 "," ? 135,706.00 "," ? 87,404.00 ",Offline,paytm
162,9/3/2024,Cacilia,commundsen4h@hubpages.com,Fresh Fruits,Rajkot," ? 6,123.00 "," ? 231,613.00 "," ? 84,839.00 ",Offline,paytm
163,1/29/2024,Arlette,aatwood4i@tumblr.com,Fresh Fruits,Hyderabad," ? 9,768.00 "," ? 578,531.00 "," ? 42,331.00 ",Online,G-pay
164,4/30/2024,Charmane,ctreadgear4j@cargocollective.com,Basic Vegetables Roots,Amravati," ? 5,154.00 "," ? 280,306.00 "," ? 51,401.00 ",Offline,Card
